numero_autorisation,numero_dosage,denomination_medicament,titulaire_autorisation,categorie_medicament,numero_it,code_atc,date_premiere_autorisation,date_autorisation_dosage,duree_validite_amm,categorie_remise_dosage,categorie_remise_medicament,principes_actifs,champ_application_medicament,champ_application_dosage,indications_particulieres,cause_mortalite,annee
55203,1,"Co-Amoxicillin Sandoz 156,25, Pulver zur Zubereitung einer Suspension zum Einnehmen",Sandoz Pharmaceuticals AG,Synthetika,08.01.93,J01CR02,2000-09-27,2000-09-27,unbegrenzt,A,A,"amoxicillinum anhydricum, acidum clavulanicum",Infektionskrankheiten,,,maladie_infectieuses,2000
55203,2,"Co-Amoxicillin Sandoz 312,5, Pulver zur Zubereitung einer Suspension zum Einnehmen",Sandoz Pharmaceuticals AG,Synthetika,08.01.93,J01CR02,2000-09-27,2000-09-27,unbegrenzt,A,A,"amoxicillinum anhydricum, acidum clavulanicum",Infektionskrankheiten,,,maladie_infectieuses,2000
55214,2,"Actonel 30 mg, Filmtabletten",Future Health Pharma GmbH,Synthetika,07.99.0.,M05BA07,2000-12-20,2000-12-20,unbegrenzt,B,B,natrii risedronas,"Osteoporose, Paget-Krankheit",,,autre,2000
55214,3,"Actonel 35 mg Wochentabletten, Filmtabletten",Future Health Pharma GmbH,Synthetika,07.99.0.,M05BA07,2000-12-20,2002-06-27,unbegrenzt,B,B,natrii risedronas,"Osteoporose, Paget-Krankheit",,,autre,2000
55218,2,"Relpax 40 mg, Filmtabletten",Viatris Pharma GmbH,Synthetika,02.05.1.,N02CC06,2000-12-14,2000-12-14,unbegrenzt,B,B,eletriptanum,Akutbehandlung von Migräneanfällen,,,autre,2000
55218,3,"Relpax 80 mg, Filmtabletten",Viatris Pharma GmbH,Synthetika,02.05.1.,N02CC06,2000-12-14,2001-05-16,unbegrenzt,B,B,eletriptanum,Akutbehandlung von Migräneanfällen,,,autre,2000
55229,1,"Epril, Tabletten",Sandoz Pharmaceuticals AG,Synthetika,02.07.1.,C09AA02,2000-01-25,2000-01-25,unbegrenzt,B,B,enalaprili maleas,ACE-Hemmer,,,appareil_circulatoire,2000
55229,2,"Epril mite, Tabletten",Sandoz Pharmaceuticals AG,Synthetika,02.07.1.,C09AA02,2000-01-25,2000-01-25,unbegrenzt,B,B,enalaprili maleas,ACE-Hemmer,,,appareil_circulatoire,2000
55229,3,"Epril submite, Tabletten",Sandoz Pharmaceuticals AG,Synthetika,02.07.1.,C09AA02,2000-01-25,2000-01-25,unbegrenzt,B,B,enalaprili maleas,ACE-Hemmer,,,appareil_circulatoire,2000
55229,4,"Epril 40, Tabletten",Sandoz Pharmaceuticals AG,Synthetika,02.07.1.,C09AA02,2000-01-25,2007-04-27,unbegrenzt,B,B,enalaprili maleas,ACE-Hemmer,,,appareil_circulatoire,2000
55243,1,"Rapamune 1 mg/ml, Lösung zum Einnehmen",Pfizer AG,Biotechnologika,07.15.0.,L04AH01,2000-09-26,2000-09-26,unbegrenzt,B,B,sirolimusum,Immunsuppressivum,,,cancer,2000
55247,1,"Blopress Plus 8/12.5 mg, Tabletten",Cheplapharm Schweiz GmbH,Synthetika,02.07.2.,C09DA06,2000-02-11,2000-06-23,unbegrenzt,B,B,"candesartanum cilexetilum, hydrochlorothiazidum",Essentielle Hypertonie,,,appareil_circulatoire,2000
55247,2,"Blopress Plus 16/12.5 mg, Tabletten",Cheplapharm Schweiz GmbH,Synthetika,02.07.2.,C09DA06,2000-02-11,2000-02-11,unbegrenzt,B,B,"candesartanum cilexetilum, hydrochlorothiazidum",Essentielle Hypertonie,,,appareil_circulatoire,2000
55247,3,"Blopress Plus 32/12.5 mg, Tabletten",Cheplapharm Schweiz GmbH,Synthetika,02.07.2.,C09DA06,2000-02-11,2009-08-04,unbegrenzt,B,B,"candesartanum cilexetilum, hydrochlorothiazidum",Essentielle Hypertonie,,,appareil_circulatoire,2000
55247,4,"Blopress Plus 32/25 mg, Tabletten",Cheplapharm Schweiz GmbH,Synthetika,02.07.2.,C09DA06,2000-02-11,2009-08-04,unbegrenzt,B,B,"candesartanum cilexetilum, hydrochlorothiazidum",Essentielle Hypertonie,,,appareil_circulatoire,2000
55249,1,"Bronchosan, Husten-Tropfen",A.Vogel AG,Phytoarzneimittel,03.02.0.,R05CA10,2000-10-18,2000-10-18,unbegrenzt,D,D,"hederae helicis recentis extractum ethanolicum liquidum, thymi recentis extractum ethanolicum liquidum, liquiritiae extractum ethanolicum liquidum",Bei Erkältungshusten,,,appareil_respiratoire,2000
55262,1,"Lacrinorm F UD, Augentropfen",Bausch & Lomb Swiss AG,Synthetika,11.08.2.,S01XA20,2000-01-14,2000-01-14,unbegrenzt,D,D,carbomerum 980,Tränenflüssigkeitsersatz,,,autre,2000
55264,1,"Zomig oro, Schmelztabletten",Grünenthal Pharma AG,Synthetika,02.05.1.,N02CC03,2000-12-18,2000-12-18,unbegrenzt,B,B,zolmitriptanum,Akutbehandlung von Migräneanfällen mit und ohne Aura,,,autre,2000
55272,2,"Modasomil, Tabletten",Neuraxpharm Switzerland AG,Synthetika,01.10.2.,N06BA07,2000-06-20,2010-01-11,unbegrenzt,A,A,modafinilum,Narkolepsie,,,autre,2000
55274,1,"Makatussin, Hustentropfen",Gebro Pharma AG,Synthetika,03.01.1.,R05DA04,2000-10-03,2000-10-03,unbegrenzt,B,B,codeini phosphas hemihydricus,"Husten, insbesondere trockener Reizhusten",,,appareil_respiratoire,2000
